time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1717862004.59049797,0.00796648,9200,0.00101811,0.00000000,0,0.00000000,26142,26263,465,0.00097877
1717862004.69203353,0.00983183,9216,0.00141895,0.00000000,0,0.00000000,26263,26366,505,0.00145986
1717862004.79220676,0.00959869,9205,0.00107867,0.00000000,0,0.00000000,26366,26575,478,0.00131908
1717862004.89304590,0.00952106,9164,0.00129426,0.00000000,0,0.00000000,26575,26622,424,0.00134156
1717862004.99525189,0.00916822,9184,0.00097958,0.00000000,0,0.00000000,26622,26868,436,0.00107592
1717862005.09547496,0.00898834,9193,0.00115084,0.00000000,0,0.00000000,26868,27063,448,0.00120018
1717862005.19698501,0.00860205,9270,0.00099616,0.00000000,0,0.00000000,27063,27181,392,0.00096936
1717862005.29786015,0.00829444,9236,0.00104002,0.00000000,0,0.00000000,27181,27343,457,0.00166322
1717862005.39804626,0.00884572,9236,0.00106082,0.00000000,0,0.00000000,27343,27565,514,0.00173970
1717862005.49958539,0.00839032,9269,0.00117447,0.00000000,0,0.00000000,27565,27771,450,0.00166650
1717862005.60042763,0.00842899,9253,0.00112852,0.00000000,0,0.00000000,27545,27780,463,0.00173018
1717862005.70063281,0.00929977,9251,0.00104371,0.00000000,0,0.00000000,27610,27857,433,0.00085834
1717862005.80149984,0.00908732,9223,0.00107949,0.00000000,0,0.00000000,27857,28020,449,0.00094580
1717862005.90301609,0.00899498,9191,0.00111154,0.00000000,0,0.00000000,28020,28164,386,0.00129643
1717862006.00323176,0.00844774,9286,0.00093511,0.00000000,0,0.00000000,28164,28313,407,0.00121885
1717862006.10545659,0.00796754,9419,0.00085684,0.00000000,0,0.00000000,28313,28518,397,0.00109278
1717862006.20630455,0.00831173,9346,0.00094872,0.00000000,0,0.00000000,28518,28711,458,0.00091302
1717862006.30723977,0.00776110,9298,0.00088485,0.00000000,0,0.00000000,28711,28884,404,0.00090514
1717862006.40933633,0.00729138,9317,0.00081237,0.00000000,0,0.00000000,28884,29029,375,0.00092238
1717862006.50954008,0.00835477,9361,0.00100477,0.00000000,0,0.00000000,29029,29064,416,0.00119552
1717862006.61107183,0.00877557,9353,0.00166363,0.00000000,0,0.00000000,29064,29265,433,0.00144789
1717862006.71330118,0.00845794,9397,0.00136410,0.00000000,0,0.00000000,29265,29317,566,0.00091368
1717862006.81347442,0.00845463,9337,0.00113722,0.00000000,0,0.00000000,29317,29468,416,0.00173177
1717862006.91503334,0.00760624,9305,0.00106935,0.00000000,0,0.00000000,29468,29609,437,0.00167984
1717862007.01586652,0.00835368,9399,0.00102910,0.00000000,0,0.00000000,29609,29812,389,0.00133095
1717862007.11608291,0.00882116,9443,0.00097405,0.00000000,0,0.00000000,29812,29923,363,0.00164305
1717862007.21695280,0.00896948,9386,0.00126214,0.00000000,0,0.00000000,29923,30060,410,0.00096571
1717862007.31845737,0.00771069,9400,0.00067912,0.00000000,0,0.00000000,30060,30223,347,0.00152804
1717862007.41869187,0.00883495,9352,0.00146646,0.00000000,0,0.00000000,30223,30303,410,0.00102387
1717862007.52089000,0.00787324,9444,0.00089229,0.00000000,0,0.00000000,30303,30486,433,0.00148692
1717862007.62174559,0.00792592,9460,0.00094980,0.00000000,0,0.00000000,30486,30707,458,0.00086925
1717862007.72192097,0.00770095,9519,0.00085067,0.00000000,0,0.00000000,30707,30859,396,0.00110262
1717862007.82352901,0.00861477,9502,0.00108551,0.00000000,0,0.00000000,30859,31000,415,0.00090208
1717862007.92564273,0.00737343,9566,0.00075793,0.00000000,0,0.00000000,31000,31126,336,0.00180037
1717862008.02585602,0.00742525,9550,0.00087602,0.00000000,0,0.00000000,31126,31198,381,0.00155779
1717862008.12677336,0.00852991,9621,0.00086116,0.00000000,0,0.00000000,31198,31367,412,0.00098576
1717862008.22828841,0.00837631,9629,0.00085298,0.00000000,0,0.00000000,31367,31522,411,0.00109389
1717862008.32847691,0.00900996,9492,0.00099966,0.00000000,0,0.00000000,31522,31677,419,0.00150878
1717862008.42997503,0.00798913,9543,0.00114589,0.00000000,0,0.00000000,31677,31797,469,0.00087840
1717862008.53150868,0.00841949,9499,0.00119249,0.00000000,0,0.00000000,31797,31824,383,0.00104420
1717862008.63171291,0.00850714,9545,0.00106058,0.00000000,0,0.00000000,31824,31992,470,0.00126763
1717862008.73325419,0.00882146,9574,0.00114251,0.00000000,0,0.00000000,31992,32215,528,0.00104665
1717862008.83481288,0.00863374,9506,0.00092179,0.00000000,0,0.00000000,32215,32333,368,0.00091986
1717862008.93500018,0.00844900,9528,0.00069037,0.00000000,0,0.00000000,32333,32461,342,0.00101666
1717862009.03653193,0.00890318,9659,0.00098237,0.00000000,0,0.00000000,32461,32645,473,0.00157207
1717862009.13802314,0.00867670,9657,0.00091207,0.00000000,0,0.00000000,32645,32832,397,0.00153096
1717862009.23896265,0.00829137,9603,0.00097735,0.00000000,0,0.00000000,32832,32969,424,0.00149756
1717862009.34043384,0.00908953,9576,0.00111151,0.00000000,0,0.00000000,32969,33203,569,0.00137789
1717862009.44195032,0.00921873,9552,0.00140506,0.00000000,0,0.00000000,33203,33383,632,0.00097696
1717862009.54281759,0.00835727,9654,0.00139313,0.00000000,0,0.00000000,33383,33617,631,0.00095550
1717862009.64368200,0.00906009,9537,0.00126701,0.00000000,0,0.00000000,33617,33971,659,0.00093427
1717862009.74388266,0.00872074,9549,0.00127949,0.00000000,0,0.00000000,33971,34292,649,0.00148134
1717862009.84476018,0.01036623,9599,0.00279724,0.00000000,0,0.00000000,34292,34600,495,0.00132369
